0,What is the result of the following statements?\n\tint n = - - 3 - -1;\n\tSystem.out.println(n);,1 is displayed,2 is displayed,3 is displayed,4 is displayed,Syntax error,4 is displayed
0,"What is the result when\n\tSystem.out.println((int)Double.parseDouble(\"".9\""));\nis compiled/executed?",Syntax error,ClassCastException,NumberFormatException,0,1,0
0,Suppose x is an int variable that holds a positive integer. Consider the following five expressions:\n\ta. x % 100 / 10\n\tb. x / 10 % 10\n\tc. (x - x % 100) / 10\n\td. x / 10 - x / 100 * 10\n\te. (x - x / 100 * 100) / 10,a,"system.out.println(200 + \""6\"");",c,d,e,c
0,Which of the following statements is equivalent to\n\tif (a == 0 || b*b - 4*a*c <= 0)\n\t\treturn false;\n\telse\n\t\treturn true;,return a == 0 || b*b - 4*a*c <= 0;,return a == 0 && b*b - 4*a*c > 0;,return a != 0 || b*b - 4*a*c > 0;,return a != 0 && b*b - 4*a*c > 0;,None of the above,return a != 0 && b*b - 4*a*c > 0;
0,Which of the following statements DOES NOT print 2006?,"System.out.println(\""200\"" + 6);","System.out.println(200 + \""6\"");",System.out.println((int)(2006 * 1.0000002));,System.out.println(2006 * 2000000 / 2000000);,System.out.println(2006 / 1000 * 1000 + 2006 % 1000);,System.out.println(2006 * 2000000 / 2000000);
0,What is the output from the following statement?\n\tSystem.out.println(new Double((new Integer(200)).intValue() / 6).doubleValue());,33,33.0,33.334,33.33333333,ClassCastException,33.0
0,What is the size of a double variable in Java?,2 bytes,4 bytes,8 bytes,It depends on a compiler setting,It depends on the operating system,8 bytes
0,Which of the following best describes the set of all pairs of values for boolean variables a and b such that\n\t(!a && b) == !(a || b)\nevaluates to true?,Empty set,Only one pair: a == true b == false,Two pairs in which a == true,Two pairs in which a != b,All four possible combinations of values,Two pairs in which a == true
0,Given\n\tdouble x = 5 y = 2;\nwhat is the value of m after the following statement is executed?\n\tint m = (int)(x + y + x / y - x * y - x / (10*y));,-1,-0.75,-0.5,0,1,-1
0,The method xProperty is defined as follows:\n\tpublic boolean xProperty(int a){\n\t\treturn a == 2 * (a / 10 + a % 10);\n\t}\nFor which of the following values of a does xProperty(a) return true?,2,8,18,28,128,18
1,What is the value of sum after the following code segment is executed?\n\tint p = 3 q = 1 sum = 0;\n\twhile (p <= 10){\n\t\tsum += p % q;\n\t\tp++;\n\t\tq++;\n\t},0,10,12,14,52,12
1,What are the values in arr after the following statements are executed?\n\tint arr[] = {1 1 0 0 0};\n\tfor (int i = 2; i < arr.length; i++)\n\t\tarr[i] += arr[i-1] + arr[i-2];,1 1 0 1 1,1 1 2 1 0,1 1 2 2 2,1 1 2 3 5,1 1 2 4 8,1 1 2 3 5
1,Which of the following best describes the loop invariant in the following code?\n\tdouble x = 3.0 y = 1.0;\n\twhile (x - y > 0.01){\n\t\tx = (x + y) / 2;\n\t\ty = 3.0 / x;\n\t},3,x = 3,xy = 3,xy = 3 and x - y > 0.01,x = 1.7321428571428572,xy = 3
1,What is the value of n after the following code is executed?\n\tint n = 2005;\n\tfor (int i = 0; i < 50; i++)\n\t\tn = (n + 3) / 2;,0,1,2,3,65,3
1,What values are stored in the array arr after the following code is executed?\n\tint[] arr = {1 2 3 4 5};\n\tint s = 0;\n\tfor (int a : arr){\n\t\ts += a;\n\t\ta = s;\n\t},0 0 0 0 0,1 2 3 4 5,0 1 3 6 10,1 3 6 10 15,1 4 10 20 35,1 2 3 4 5
1,What is the value of i after the following code is executed?\n\tint i = 0 n = 100;\n\tfor (i++; i < n; n--)\n\t\ti++;,49,50,51,99,101,51
1,What values are stored in the array nums after the following code is executed?\n\tint[] nums = {3 0 4 2 1};\n\tint len = nums.length;\n\tfor (int i = 0; i < len; i++)\n\t\tfor (int count = 1; count <= len; count++)\n\t\t\tnums[i] = nums[nums[i]];,0 0 0 0 0,0 1 2 3 4,0 0 4 2 0,0 4 2 1 3,3 0 4 2 1,0 0 0 0 0
1,What are the values of a and b after the following code fragment is executed?\n\tint a = 3 b = 5;\n\tfor (int i = 0; i < 10; i++){\n\t\tint s = a + b;\n\t\tb = a - b;\n\t\ta = s;\n\t},0 and 96,96 and 0,96 and 96,96 and 160,160 and 96,96 and 160
1,What is the value of y after the following code is executed?\n\tint x = 123 y = 0;\n\twhile (x > 0){\n\t\ty *= 10;\n\t\ty += x % 10;\n\t\tx /= 10;\n\t},1,3,6,12,321,321
1,What is the output from the following code?/n/tint[] counts = new int[3];/n/tfor (int i = 0; i < 100; i++)/n/t/tfor (int j = 0; j < 10; j++)/n/t/t/tcounts[j % 3]++;/n/tSystem.out.println((counts[1] + counts[2]) / counts[0]);,1,1.5,2,2.5,3,1
2,fun is defined as follows:\n\tpublic int fun(int[] v){\n\t\tv[0]--;\n\t\treturn v[0]+2;\n\t}\nWhat is the value of v[0] after the following code segment is executed?\n\tint[] v = {345};\n\tv[0]=fun(v);,1,2,3,4,5,4
2,If array arr has five elements with values 0 1 2 3 4 what are the values in arr after the following code is executed?\n\tfor (int k = 0; k < 5; k++)\n\t\tarr[k] = arr[arr[k]];,0 1 2 3 4,1 2 3 4 0,1 2 2 2 2,0 0 0 0 0,1 2 3 4 4,0 1 2 3 4
2,Suppose an array A has n elements. Let’s call it periodic with a period of p if 0 < p < n and A[i] == A[i+p] for all 0 ≤ i < n−p and p is the smallest such number. What is the period of array v after the following code is executed?\n\tint[] v = new int[100];\n\tv[0] = 0; v[1] = 1;\n\tfor (int i = 2; i < 100; i++)\n\t\tv[i] = v[i-1] - v[i-2];,2,3,4,6,No period,6
2,An integer array a has 19 elements. What is the value of the middle element after the following code is executed?\n\tint n = 19;\n\tfor (int i = 0; i < n; i++)\n\t\ta[i] = i+1;\n\n\tfor (int i = 0 j = n-1; i <= j; i++ j--)\n\t\ta[(i+j)/2] -= (a[i] + a[j]) / 2;,0,10,-41,-62,-71,0
2,Consider the following method:\n\tpublic void divide5(int[] a int[] q int[] r){\n\t\tq[0] = a[0] / 5;\n\t\tr[0] = a[0] % 5;\n\t}\n\nWhat is the value of y[0] after the following statements are executed?\n\tint[] x = {21 22 23} y = new int[3];\n\tdivide5(x y y);,0,1,2,4,21,1
2,If a is an int array of length 2 and a[0] and a[1] hold values 7 and 13 respectively what are their values after fun(a) is called? The method fun is defined as follows:\n\tpublic void fun(int[] x){\n\t\tx[0] = (int)(100.0 * x[0] / (x[0] + x[1]));\n\t\tx[1] = (int)(100.0 * x[1] / (x[0] + x[1]));\n\t},7 and 13,35 and 27,34 and 64,35 and 65,34 and 66,35 and 27
2,Consider a method\n\tpublic boolean isProcessedX(int n int[] v){\n\t\tif (n >= 2 && isProcessedX(n-1 v)){\n\t\t\tv[n-1] = v[n-2];\n\t\t\treturn true;\n\t\t}else\n\t\t\treturn false;\n\t}\nWhat happens if an int array s holds values 1 2 3 4 5 and isProcessedX(5 s) is called?,s holds 1 2 3 4 5 and isProcessedX returns false,s holds 1 2 3 4 4 and isProcessedX returns true,s holds 1 1 1 1 1 and isProcessedX returns true,IndexOutOfBoundsException,Stack overflow error,s holds 1 2 3 4 5 and isProcessedX returns false
